Date,Close
2020-07-27,9.600000381469727
2020-07-28,10.199999809265137
2020-07-29,10.800000190734863
2020-07-30,13.600000381469727
2020-07-31,10.0
2020-08-03,10.600000381469727
2020-08-04,10.399999618530273
2020-08-05,10.600000381469727
2020-08-06,10.0
2020-08-07,9.0
2020-08-10,9.800000190734863
2020-08-11,9.199999809265137
2020-08-12,9.399999618530273
2020-08-13,9.399999618530273
2020-08-14,10.199999809265137
2020-08-17,10.0
2020-08-18,9.600000381469727
2020-08-19,10.0
2020-08-20,12.0
2020-08-21,10.800000190734863
2020-08-24,11.0
2020-08-25,10.800000190734863
2020-08-26,11.600000381469727
2020-08-27,11.399999618530273
2020-08-28,11.399999618530273
2020-08-31,11.0
2020-09-01,10.399999618530273
2020-09-02,10.199999809265137
2020-09-03,10.199999809265137
2020-09-04,10.399999618530273
2020-09-08,10.199999809265137
2020-09-09,10.199999809265137
2020-09-10,10.199999809265137
2020-09-11,10.0
2020-09-14,10.0
2020-09-15,10.800000190734863
2020-09-16,11.399999618530273
2020-09-17,12.0
2020-09-18,12.0
2020-09-21,11.199999809265137
2020-09-22,11.0
2020-09-23,10.199999809265137
2020-09-24,10.399999618530273
2020-09-25,10.800000190734863
2020-09-28,11.399999618530273
2020-09-29,11.399999618530273
2020-09-30,11.0
2020-10-01,11.199999809265137
2020-10-02,11.399999618530273
2020-10-05,11.199999809265137
2020-10-06,11.0
2020-10-07,11.199999809265137
2020-10-08,11.800000190734863
2020-10-09,12.0
2020-10-12,12.199999809265137
2020-10-13,12.0
2020-10-14,12.0
2020-10-15,11.800000190734863
2020-10-16,11.800000190734863
2020-10-19,11.199999809265137
2020-10-20,11.0
2020-10-21,10.399999618530273
2020-10-22,10.600000381469727
2020-10-23,10.800000190734863
2020-10-26,10.199999809265137
2020-10-27,10.199999809265137
2020-10-28,9.600000381469727
2020-10-29,9.800000190734863
2020-10-30,9.600000381469727
2020-11-02,8.600000381469727
2020-11-03,8.800000190734863
2020-11-04,9.0
2020-11-05,8.600000381469727
2020-11-06,8.399999618530273
2020-11-09,9.199999809265137
2020-11-10,8.75
2020-11-11,8.970000267028809
2020-11-12,8.520000457763672
2020-11-13,9.640000343322754
2020-11-16,11.109999656677246
2020-11-17,12.529999732971191
2020-11-18,12.199999809265137
2020-11-19,12.4399995803833
2020-11-20,12.630000114440918
2020-11-23,13.779999732971191
2020-11-24,14.739999771118164
2020-11-25,14.300000190734863
2020-11-27,13.899999618530273
2020-11-30,13.399999618530273
2020-12-01,12.899999618530273
2020-12-02,12.710000038146973
2020-12-03,13.260000228881836
2020-12-04,13.399999618530273
2020-12-07,13.180000305175781
2020-12-08,12.920000076293945
2020-12-09,13.520000457763672
2020-12-10,13.649999618530273
2020-12-11,12.979999542236328
2020-12-14,12.779999732971191
2020-12-15,13.229999542236328
2020-12-16,13.050000190734863
2020-12-17,13.15999984741211
2020-12-18,13.279999732971191
2020-12-21,12.970000267028809
2020-12-22,12.819999694824219
2020-12-23,12.600000381469727
2020-12-24,12.430000305175781
2020-12-28,11.789999961853027
2020-12-29,12.029999732971191
2020-12-30,11.859999656677246
2020-12-31,11.899999618530273
2021-01-04,12.75
2021-01-05,13.0600004196167
2021-01-06,13.260000228881836
2021-01-07,13.930000305175781
2021-01-08,14.399999618530273
2021-01-11,14.390000343322754
2021-01-12,15.050000190734863
